name,zipcode,neighborhood,councildistrict,policedistrict,row_Id,_id,_uuid,_position,_address,row_Id_0
"","","","","",0,"","","","",
"410","21206","Frankford","2","NORTHEASTERN",1,"1","93CACF6F-C8C2-4B87-95A8-8177806D5A6F","1","http://data.baltimorecity.gov/resource/k5ry-ef3g/1",0
"1919","21231","Fells Point","1","SOUTHEASTERN",2,"2","44F06325-01EF-4430-A292-1F7F0271D902","2","http://data.baltimorecity.gov/resource/k5ry-ef3g/2",0
"SAUTE","21224","Canton","1","SOUTHEASTERN",3,"3","9042B410-5D83-4CD6-B573-916D54467720","3","http://data.baltimorecity.gov/resource/k5ry-ef3g/3",0
"#1 CHINESE KITCHEN","21211","Hampden","14","NORTHERN",4,"4","CDFAF444-3141-447F-B413-8EA8621F7432","4","http://data.baltimorecity.gov/resource/k5ry-ef3g/4",0
"#1 chinese restaurant","21223","Millhill","9","SOUTHWESTERN",5,"5","D94F99C7-2450-4A43-898B-BD5B98A52C4D","5","http://data.baltimorecity.gov/resource/k5ry-ef3g/5",0
"19TH HOLE","21218","Clifton Park","14","NORTHEASTERN",6,"6","CEE1473B-13D1-4A87-A07C-63CF29D49147","6","http://data.baltimorecity.gov/resource/k5ry-ef3g/6",0
"3 KINGS","21205","McElderry Park","13","SOUTHEASTERN",7,"7","D4F553B1-B9D0-48DD-8BB0-37F82CFA449B","7","http://data.baltimorecity.gov/resource/k5ry-ef3g/7",0
"3 MILES HOUSE, INC.","21211","Remington","7","NORTHERN",8,"8","6D72031B-1CB9-4F4F-8B28-D93D9F181E32","8","http://data.baltimorecity.gov/resource/k5ry-ef3g/8",0
"3 W'S TAVERN","21205","McElderry Park","13","SOUTHEASTERN",9,"9","843ADB59-5E3F-49F9-B1B8-5318BAB93AD1","9","http://data.baltimorecity.gov/resource/k5ry-ef3g/9",0
"300 SOUTH ANN STREET","21231","Upper Fells Point","1","SOUTHEASTERN",10,"10","516A572F-278D-44B0-AA3B-15BC4590DDB7","10","http://data.baltimorecity.gov/resource/k5ry-ef3g/10",0
"438 CLUB","21226","Curtis Bay","10","SOUTHERN",11,"11","554E8705-2FFE-40D0-A8C1-DF357B03C093","11","http://data.baltimorecity.gov/resource/k5ry-ef3g/11",0
"5-MILE HOUSE","21215","Woodmere","5","NORTHWESTERN",12,"12","943A3B52-5C07-4304-B658-C40783AF91CB","12","http://data.baltimorecity.gov/resource/k5ry-ef3g/12",0
"743 S. MONTFORD,INC.","21224","Canton","1","SOUTHEASTERN",13,"13","5284DF5A-256E-4ADF-AC47-4068CEB3F56A","13","http://data.baltimorecity.gov/resource/k5ry-ef3g/13",0
"A & W RESTAURANT","21224","Pulaski Industrial Area","1","SOUTHEASTERN",14,"14","733E8DF4-D99E-4B2C-8DF9-33252B84F767","14","http://data.baltimorecity.gov/resource/k5ry-ef3g/14",0
"A TASTE OF CHINA","21202","Downtown","11","CENTRAL",15,"15","A0836363-D1B5-46C4-A355-535B43538FF9","15","http://data.baltimorecity.gov/resource/k5ry-ef3g/15",0
"ABACROMBIE FINE FOODS","21201","Mid-Town Belvedere","11","CENTRAL",16,"16","B11C90DE-0D51-4A0E-9A74-7740E259C162","16","http://data.baltimorecity.gov/resource/k5ry-ef3g/16",0
"ABC SUSHI","21205","Middle East","13","EASTERN",17,"17","956CA083-2B63-42E9-A442-A4C168D23EDB","17","http://data.baltimorecity.gov/resource/k5ry-ef3g/17",0
"ACROPOLIS RESTAURANT","21224","Greektown","2","SOUTHEASTERN",18,"18","30C42907-627D-4740-BB1B-33F02C5D50E1","18","http://data.baltimorecity.gov/resource/k5ry-ef3g/18",0
